Nome do Eixo;Problema central do eixo;Causa Primária;Categoria Causa Primária;Causa Secundária;Categoria Secundária;Votos causa secundária;Causa Terciária;Categoria Terciária
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);Fragilidade na articulação curricular e planejamento integrado entre Educação Infantil e Ciclo de Alfabetização;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidade na comunicação entre famílias e escola;Fragilidade na comunicação entre famílias e escola;Dificuldade na articulação com a rede de proteção na responsabilidade na garantia do direito de alfabetização;Dificuldade na articulação com a rede de proteção na responsabilidade na garantia do direito de alfabetização;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidade na comunicação entre famílias e escola;Fragilidade na comunicação entre famílias e escola;Fragilidade de projetos e fluxos cotidianos relacionados à escuta e participação das famílias e responsáveis;Fragilidade de projetos e fluxos cotidianos relacionados à escuta e participação das famílias e responsáveis;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Deficiências na formação inicial de parte dos docentes (efetivos e contratados) que atuam no ciclo de alfabetização;Deficiências na formação inicial de parte dos docentes (efetivos e contratados) que atuam no ciclo de alfabetização;Presença significativa de docentes recém-formados em Pedagogia, muitas vezes em cursos EaD.;Presença significativa de docentes recém-formados em Pedagogia, muitas vezes em cursos EaD.;4;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Deficiências na formação inicial de parte dos docentes (efetivos e contratados) que atuam no ciclo de alfabetização;Deficiências na formação inicial de parte dos docentes (efetivos e contratados) que atuam no ciclo de alfabetização;Baixa qualidade de cursos de Licenciatura oferecidos no país, sobretudo na modalidade EaD;Baixa qualidade de cursos de Licenciatura oferecidos no país, sobretudo na modalidade EaD;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Deficiências na formação inicial de parte dos docentes (efetivos e contratados) que atuam no ciclo de alfabetização;Deficiências na formação inicial de parte dos docentes (efetivos e contratados) que atuam no ciclo de alfabetização;Ingresso de docentes na RME sem formação específica ou experiência prévia no ciclo de alfabetização;Ingresso de docentes na RME sem formação específica ou experiência prévia no ciclo de alfabetização;1;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Participação desigual nos processos formativos (sobretudo entre efetivos e contratados);Participação desigual de professores nas formações (JEIF e Contratados);6;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Fragilidade na formação dos próprios CPs que não tem formação em alfabetização;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Dificuldade de participação e continuidade em processos formativos contínuos, no horário de trabalho, devido à falta de profissionais para substituição nas UEs.;Dificuldade de participação e continuidade em processos formativos contínuos, no horário de trabalho, devido à falta de profissionais para substituição nas UEs.;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Adesão insuficiente das práticas pedagógicas ao Currículo da Cidade e à Política de Alfabetização;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;2;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Excesso e fragmentação de informações sobre a Política de Alfabetização enviadas pelas DREs;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;A ausência de um planejamento integrado das formações, organizado por ciclos, tem resultado na realização de atividades concomitantes que, além de impactarem a rotina e a organização das UEs, dificultam a participação efetiva dos profissionais a que se destinam.;Desafios na integração do cronograma formativo por ciclos e na conexão das temáticas com a realidade cotidiana e as necessidades dos territórios;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Acompanhamento insuficiente das DREs nos processos formativos que ocorrem nas Ues;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;1;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Conteúdo das formações genéricos, repetitivos e com baixo aproveitamento na prática pedagógica;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Falta de priorização dos temas da alfabetização nas JEIFs;Desafios na integração do cronograma formativo por ciclos e na conexão das temáticas com a realidade cotidiana e as necessidades dos territórios;1;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Fragilidades dos processos de formação continuada da SME;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Baixa adesão do POA devido ao acúmulo da função com a regência;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Falta de experiência prévia dos profissionais do ciclo de alfabetização;Falta de experiência prévia dos profissionais do ciclo de alfabetização;Descompasso entre as competências específicas exigidas e as desenvolvidas nos cursos de Pedagogia;Descompasso entre as competências específicas exigidas e as desenvolvidas nos cursos de Pedagogia;;;
Eixo 2 - Formação;A formação inicial e continuada dos profissionais do ciclo de alfabetização tem sido insuficiente para garantir a competência crítico-reflexiva necessária à alfabetização com qualidade e equidade.;Alta rotatividade dos profissionais do ciclo de alfabetização;Alta rotatividade de professores;Alta incidência de contratação de professores temporários;Alta incidência de contratação de professores temporários;7;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de política de incentivos para atração/retenção de professores alfabetizadores qualificados;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Processo de atribuição/alocação de turmas não favorece a escolha dos perfis mais adequados ao ciclo de alfabetização;Ausência de critérios para retenção de professores alfabetizadores;;Modelo de atribuição por pontuação é engessado e não considera experiência específica com alfabetização como critério prioritário;Modelo de atribuição por pontuação é engessado e não considera experiência específica com alfabetização como critério prioritário
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de política de incentivos para atração/retenção de professores alfabetizadores qualificados;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Acúmulo de cargos como variável não considerada na atribuição — professor divide atenção entre unidades;Ausência de critérios para retenção de professores alfabetizadores;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de política de incentivos para atração/retenção de professores alfabetizadores qualificados;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Professores 'fogem' da etapa de alfabetização por causa do aumento de estudantes com necessidades específicas e sem suporte adequado;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);4;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de política de incentivos para atração/retenção de professores alfabetizadores qualificados;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Ausência de estrutura institucional que fomentem a troca de experiências entre as unidades a partir de suas práticas e desafios;Ausência de estrutura institucional que fomentem a troca de experiências entre as unidades a partir de suas práticas e desafios;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Pouco reconhecimento das boas práticas de alfabetização;Pouco reconhecimento das boas práticas de alfabetização;Ausência de política sistematizada de identificação, registro e valorização de práticas bem-sucedidas de alfabetização na rede;Ausência de política sistematizada de identificação, registro e valorização de práticas bem-sucedidas de alfabetização na rede;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Pouco reconhecimento das boas práticas de alfabetização;Pouco reconhecimento das boas práticas de alfabetização;Ausência de feedback positivo aos profissionais — diálogo ocorre apenas diante dos problemas;Ausência de feedback positivo aos profissionais — diálogo ocorre apenas diante dos problemas;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Pouco reconhecimento das boas práticas de alfabetização;Pouco reconhecimento das boas práticas de alfabetização;As questões com estudantes AEE são mais evidentes no ciclo de alfabetização, devido à falta de laudo e diagnósticos;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de estímulo específico para quem atua no ciclo de alfabetização;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Ausência de adicional financeiro para professores do ciclo de alfabetização;Ausência de adicional financeiro para professores do ciclo de alfabetização;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de estímulo específico para quem atua no ciclo de alfabetização;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Contratados excluídos das JEIFs sem remuneração adicional (desincentivo à formação);Participação desigual de professores nas formações (JEIF e Contratados);;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de estímulo específico para quem atua no ciclo de alfabetização;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Alto número de estudantes por turma, que inviabiliza acompanhamento individualizado no ciclo;Alto número de estudantes por turma;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de estímulo específico para quem atua no ciclo de alfabetização;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Ausência de auxiliares em todas as salas;Quadro de apoio em quantidade insuficiente;;;
Eixo 4 - Política de Incentivos;Ausência de uma política estruturada de incentivos — financeiros, de carreira e de reconhecimento — para atrair, reter e valorizar profissionais qualificados no ciclo de alfabetização e estimular escolas com boas práticas.;Ausência de estímulo específico para quem atua no ciclo de alfabetização;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Sobrecarga de projetos e demandas administrativas reduz o tempo pedagógico disponível;Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Indefinição de papéis e sobrecarga burocrática do CP, POA e do trio gestor;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;Ausência de critérios claros sobre o trabalho prioritário do CP, POA e trio gestor no ciclo de alfabetização;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Indefinição de papéis e sobrecarga burocrática do CP, POA e do trio gestor;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;Desvio de função: CP/POA cobrem turmas sem professor, perdendo o tempo de observação e formação;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;4;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Indefinição de papéis e sobrecarga burocrática do CP, POA e do trio gestor;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;Falta de rotina estruturada de observação de aula e devolutiva formativa ao professor;Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Indefinição de papéis e sobrecarga burocrática do CP, POA e do trio gestor;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;Fragilidade no desenvolvimento de ações integradas entre PAP e professores regentes;Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Rotatividade de professores fragmenta a continuidade do acompanhamento;Alta rotatividade de professores;Ausência de critérios para retenção de professores alfabetizadores;Ausência de critérios para retenção de professores alfabetizadores;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Rotatividade de professores fragmenta a continuidade do acompanhamento;Alta rotatividade de professores;Professores contratados excluídos das formações em JEIF — chegam às turmas sem o repertório compartilhado pela rede;Participação desigual de professores nas formações (JEIF e Contratados);5;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Rotatividade de professores fragmenta a continuidade do acompanhamento;Alta rotatividade de professores;Ruptura dos processos pedagógicos — cada troca de professor reinicia o ciclo de acompanhamento longitudinal;Alta rotatividade de professores;1;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;CP e POA sobrecarregados com com turmas de estudantes com necessidades específicas;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;Dificuldade de realizar observação e devolutiva individualizada quando há déficit de profissionais de apoio;Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;4;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;Desafios no acompanhamento pedagógico individualizado diante da elevada complexidade e diversidade das turmas (AEE, vulnerabilidades, defasagens, infrequência etc.);Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);;;
