Eixo;Problema central;Causa primária;Causa secundária;Causa terciária;Evidências nos grupos focais;Evidências nas oficinas;Indicadores;Outras evidências
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Falta de profissionais qualificados em sala;;PE: É necessário ter dois profissionais na sala de aula, estagiário não é profissional qualificado / preparado, ele precisa aprender, não consegue atender as demandas;;"Déficit de Professores de Ed. Infantil e Ensino Fundamental I  no módulo 
2024: 18,53%
Módulo: 25.333
Em exercício: 20.638
";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Necessidade de viabilizar a comunicação em libras com demais estudantes e familiares;;Necessidade de intérpretes de libras nas UEs;;"Número de estudantes surdos: 
2024:
Surdez: 88
Surdez severa: 50

2025:
Deficiência auditiva: 87
Surdez: 27
Surdez unilateral: 2
Fonte: EOL";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Início tardio do processo de letramento das crianças;Baixa escolaridade de parte das famílias (analfabetismo funcional);;;;"Taxa de analfabetismo no estado de São Paulo segundo o IBGE:
2024:  2,3% 

29% dos brasileiros entre 15-64 anos são analfabetos funcionais (Indicador de Analfabetismo Funcional, 2025)

Proficiência  de estudantes do EJA nas Sondagens de 2025: 
Item: Hipótese de Escrita:
1º Bimestre
Alfabética: 35%
4º Bimestre
Alfabética: 54%

Item: Proficiência de Leitura
1º Bimestre: 
Leitura com fluência: 20,4%
2º Bimestre:
Leitura com fluência: 21%
Fonte: Plano COPED, 2025
";"Panorama Todos Pela Educação 2025/Entrevistas da Nova Escola reforçam que o contexto familiar impacta na alfabetização na infância, especialmente nos territórios periféricos
Mapa da Desigualdade 2025 reforça que bairros mais pobres concentram piores taxas de alfabetização e acesso à creche"
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente e pouco prática dos profissionais sobre o processo e estratégias de alfabetização;Falta de estratégias diferenciadas e espaços de compartilhamento de práticas para lidar com a diversidade de estudantes;"Relatório: o compartilhamento de práticas bem-sucedidas fortalece o repertório das/os professoras/professores e ajuda na resolução de desafios comuns.
G: ""Formações práticas, com trocas de experiência, com quem conhece o território. Os especialista do campo teórico são importantes, porém a troca de experiências é fundamental para que a prática se modifique.""";;"Número de professores com cargo ""Prof. Ens. Infantil e Fundamental I
2024: 20.638
2025: 24.313

Número de professores com cargo ""Prof. Ens. Infantil e Fundamental I em JEIF
2024:
2025: 49,65% (12.084)
";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente e pouco prática dos profissionais sobre o processo e estratégias de alfabetização;;PE: Incluir temas da alfabetização nas JEIFs, em geral, as formações são focadas em outros ciclos. Proposta de letramento, agrupamentos produtivos, sondagens, portfolio, registros e organização do trabalho do professor alfabetizador. Planejamento coletivo e socialização das práticas.;;"
Número de professor do Ens. Infantil e Fundamental I
2024: 20.638
2025: 24.334

% de professores do Ens. Infantil e Fundamental I em JEIF: 
2025: 49,65% (12.084)

% de formações destinada ao tema da alfabetização";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Processo de atribuição não favorece a escolha dos perfis mais adequados ;Necessidade de considerar o acúmulo de cargos como uma das variáveis para atribuição;"JT: Acúmulo de cargos/O modelo atual de contratação. Em fevereiro, os profissionais não tem a possibilidade de escolher aonde ficar
IQ: Pontuação dos professores: Atribuição é muito engessada, e as trocas de profissionais atrapalham (ex: professores volantes que precisam deixar projetos em andamento)
";;"Número de professores do Ed. Infantil e Ensino fundamental
2024: 20.638
2025: 24.334
taxa de rotatividade de professores no ciclo de alfabetização:
jun/24 a jun/25: 37,82%
Fonte: EOL/UPGE";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Infraestrutura inadequada para a acessibilidade e protagonismo das crianças (mobiliário, deslocamento no espaço, parques);;Relatório: fomentar o uso e reestruturação dos espaços escolares (parques, quadras) no apoio a práticas pedagógicas. Incluir mais informações do relatório sobre problemas na infraestrutura que afetam a educação integral em tempo integral.;;"Percentual de unidades acessíveis, parcialmente acessíveis e não acessíveis: 
2025: 
UEs acessíveis: 32,98%
UEs parcialmente acessíveis: 47,44%
 UEs não acessíveis: 19,58% 

% de escolas com equipamentos para atividades de complementares (parques, mobiliários, quadras etc.)";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Sentimento de despreparo dos professores para alfabetizar turmas numerosas e com necessidades específicas aliado à pressão por resultados;;"PE: Professores estão fugindo do primeiro ano, por causa dos alunos atípicos (aumento considerável)/ Desproporcionalidade entre o número de alunos e profissionais (muitos alunos, poucos professores)/Ampliação de salas para atender o grande número e as especificidades de alunos com necessidades especiais, as turmas precisam ser menores e ter assistentes fixos/Todos os professores precisam ser formados (todos os ciclos), para não responsabilizar os colegas sobre as defasagens encontradas nos alunos que vem de outros ciclos, precisa haver trocas de experiências entre os profissionais – JEIF coletiva
JT: Perfil do 1º ano, mais barulhento. “Tem que saber lidar com o caos”
IQ: Um fator de desistência é o professor não saber o que tem que fazer e não alcançar os resultados, ele precisa estudar e se dedicar. Quando não sabe o que fazer, ele vai mudando de lugar.";;Número de formações ofertadas sobre alfabetização inclusiva por ciclo de formações;
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Insuficiência de profissionais de apoio à inclusão (libras, estudantes com deficiência);Falta de referenciais e estratégias diferenciadas para lidar com a diversidade de estudantes;"Relatório: a ausência de profissionais qualificados e a presença cada vez maior destes estudantes [com necessidades específicas] afasta as/os professoras/professores deste ciclo. 
IQ: ""Profissionais que auxiliem na inclusão, como instrutores de libras e interpretes.""";;"Número de PAEEs
2024: 943
2025: 1223
Fonte: Perfil do servidor - EOL/DIE";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Frágil apoio ou ausência de incentivo da gestão escolar e da DRE/SME na construção, acompanhamento e avaliação do projeto da escola e de alfabetização;Quadro insuficiente de formadores nas DREs;"PE: Sondagens precisam ser aprofundadas, geram muitas dúvidas
JT: A concepção da rede, que é anterior à metodologia. É necessário desconstruir a visão de professores mais resistentes. A formação baseada na concepção da rede e não do professor";;"Número de POA:
2025: 318 
Fonte: Perfil do servidor - DIE";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Gestão escolar sobrecarregada com demandas de gestão do quadro de profissionais da escola;;"IQ: [necessidade de] recursos humanos, assistentes que auxiliem em sala de aula
JT:O modelo atual de contratação. Em fevereiro, os profissionais não tem a possibilidade de escolher aonde ficar
PE: Desproporcionalidade entre o número de alunos e profissionais (muitos alunos, poucos professores)";;"Número de profissionais com laudo médico definitivo:
2025: 2.711

Laudo médico temporário
2025: 6.755
Fonte: Perfil do servidor - DIE

Déficit de profissionais no módulo (DRE, etapa de ensino, UEs)";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Processo de atribuição não favorece a escolha dos perfis mais adequados ;;"Atribuição e estabilidade de cargos: a rotatividade das equipes e a forma como as turmas são atribuídas interferem na continuidade do trabalho pedagógico. A atribuição de aulas é considerada pouco flexível e desconsidera as características específicas das/os estudantes, dificultando a permanência e prejudicando projetos em andamento quando a/o profissional é deslocada/o. As/os professoras/professores da alfabetização frequentemente assumem turmas sem planejamento prévio e depois são trocadas/os. 
";;"
Taxa de rotatividade anual de professores no ciclo de alfabetização
jun/24 a jun/25: 37.82%

 Percentual de   contratados  no ciclo de alfabetização
2024: 12,2%
2025: 29,41%
Fonte: EOL/UPGE";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Rotatividade da equipe gestora da unidade;;"Relatório: a rotatividade das equipes e a forma como as turmas são atribuídas interferem na continuidade do trabalho pedagógico
G: "" Permanência dos professores por todo o ciclo""";;Taxa de rotatividade da equipe gestora por unidade/DRE;
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Aumento de crianças com deficiência e neurodivergentes;;Relatório: aumento da demanda por atendimento inclusivo, principalmente após a pandemia, exige preparo específico, atualizado, contínuo e prático para lidar com diferentes perfis de alunas/alunos;;"Número de estudantes com deficiências
2023: 5.343
2024: 9.437
2025: 9.506
% de matrículas de estudantes com deficiências por total de matrículas do ciclo de alfabetização:
2023: 3,72%
2024: 4,87%
2025: 5,98%
Fonte: EOL/DIE";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Fragilidade na articulação entre as escolas, Assistência Social e Saúde, para atendimento das crianças e estudantes em situação de vulnerabilidade ou com deficiências;;"G: Quantidade de alunos, pois nesta fase é necessário identificar e aplicar estratégias diferentes para diferentes perfis de alunos. O foco é qualitativo. Manter heterogeneidade porém com grupos menores
PE: Desproporcionalidade entre o número de alunos e profissionais (muitos alunos, poucos professores)
IQ: Temos políticas para trazer os alunos para as escolas, portanto, as vulnerabilidades vêm junto, e precisamos olhar pra isso buscando soluções para garantir as aprendizagens e permanência";"Dimensão 4: gestão das trajetórias - C.: políticas de incentivo e combate à evasão
PE: ""Há política de prevenção e incentivo à permanência, mas observamos a necessidade de que as ações intersetoriais, suporte socioemocional e programas de engajamento familiar sejam ampliadas.""";"Número de alunos por turma no ciclo de alfabetização
2025: 29
Número de crianças com deficiência no ciclo de alfabetização:
2023: 5.343
2024: 9.437
2025: 9.506
Fonte: Dados Gerenciais - DIE/EOL";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Baixa maturidade nos programas de recuperação e recomposição das aprendizagens;Metodologias de ensino pouco atrativas dificultam a aprendizagem dos estudantes;;;"Há programas estruturados (PAP, ""Fortalecimento das Aprendizagens""), porém, acreditamos que haja resistência da equipe escolar na aplicação de metodologias diversificadas e mais eficazes. Além disso, é essencial incentivar a participação das famílias no processo.";"Nº de professores PAP 2º ano:
2025: 313
Perfil dos professores PAP 2º Ano
312 são efetivos
219 estão em JEIF
58,47% possuem pós graduação
Fonte: Perfil do Servidor - DIE

Percentual de estudantes do 2º ano abaixo do básico em português na Prova SP
2019: 8,07% 
2022: 14,10% 
2023: 13,23% 
2024: 5,79% 

Percentual de estudantes do 2º ano abaixo do básico em matemática na Prova SP
2019: 32,05 % 
2022: 34,06% 
2023: 41,24% 
2024: 20,07% 
Fonte: Divisão de Avaliação/ UPGE";"O estudo sobre aquisição de leitura em crianças no primeiro ciclo do Ensino Fundamental é um desafio para os professores, publicado na Revista Ibero- Americana de Humanidades, Ciências e Educação- REASE, evidencia que ""(...)buscar novas formas, novos modelos de aplicar a leitura, modernizando metodologias de acordo com a realidade e contemporaneidade da criança proporcionando-lhe um ambiente atrativo, encantador, envolvente que lhe permita querer aprender ler e que ela possa adquirir o gosto e hábito pela leitura."" (pg.595)"
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Sentimento de despreparo em relação ao atendimento dos estudantes com deficiência, inclusive TEA;;"PE: ""Professores estão fugindo do primeiro ano, por causa dos alunos atípicos (aumento considerável)""";JT: Ampliação do pessoal do CEFAI para aperfeiçoamento da formação docente e rompimento de crenças estabelecidas sobre a deficiência.;"Número de alunos por turma no ciclo de alfabetização
2025: 29
Número de crianças com deficiência no ciclo de alfabetização:
2023: 5.343
2024: 9.437
2025: 9.506
Fonte: Dados Gerenciais - DIE/EOL";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Déficit no quadro de apoio;;"Relatório: A ausência de profissionais qualificados/os e a presença cada vez maior destes estudantes [com necessidades específicas] afasta as/os professoras/professores deste ciclo. 
Relatório executivo: desafio - insuficiência e impermanência do quadro de apoio.
IQ: "" Recursos humanos, assistentes que auxiliem em sala de aula.""";"PE: A rede carece de profissionais como AVEs, ATEs, PAEES, estagiários e demais profissionais para apoiar o professor regente.
PE: A rede carece de profissionais como AVEs, ATEs, PAEES, estagiários e demais profissionais para apoiar o professor regente.
CL: Falta um programa permanente de profissionais que atuem com os estudantes do público AEE que necessitam de suporte. Exemplo: instrutores, intérpretes, AVEs. Faltam verbas para contratos. Necessitamos de um plano estratégico para que os estudantes não fiquem sem o suporte necessário.";"Número de professores com cargo ""PROF Ens. Infantil e Ensino Fundamental I"":
2024: 20.638 
2025: 24.334
Fonte: EOL/UPGE

Número de ATEs:
2024: 12.995

Déficit do módulo de ATE:
2024: +1,56 (segundo os dados o quadro de ATE em exercício é maior que o quadro previsto no módulo de 8328)
Número de agente escolar:
2024:1749

Número de AVEs:

";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Dificuldade de realizar atendimento individualizado considerando necessidades de cada criança;Alto número de estudantes/educandos por professor;;"Relatório: A necessidade de redução do número de alunas/alunos por turmas, mantendo a heterogeneidade para a inclusão, principalmente das/os alunas/alunos com deficiência e neurodivergentes, impactam diretamente na permanência das/os professoras/professores no ciclo de alfabetização.

G: ""Quantidade de alunos, pois nesta fase é necessário identificar e aplicar estratégias diferentes para diferentes perfis de alunos. O foco é qualitativo. Manter heterogeneidade porém com grupos menores""
PE: ""Desproporcionalidade entre o número de alunos e profissionais (muitos alunos, poucos professores)""";PE: A rede carece de profissionais como AVEs, ATEs, PAEES, estagiários e demais profissionais para apoiar o professor regente. Além disso, o número de estudantes por agrupamento inviabiliza que o professor consiga olhar para as especificidades de todos. Os estudantes com deficiência não tem acompanhamento multiprofissional adequado.;"Número de alunos por turma no ciclo de alfabetização
2025: 29
Número de crianças com deficiência no ciclo de alfabetização:
2023: 5.343
2024: 9.437
2025: 9.506
Fonte: Dados Gerenciais - DIE/EOL";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente e pouco prática dos profissionais sobre o processo e estratégias de alfabetização;Impossibilidade de participação de professores contratados e outros profissionais nas formações (PEA/JEIF);"Relatório: a compreensão sobre o que significa alfabetizar e sobre o percurso de aprendizagem da criança é visto como essencial.

Relatório executivo: desafio sobre a impossibilidade de participação de professores contratados e equipe de apoio nas formações.

G: ""Formação continuada para esse professor. “O ciclo de alfabetização é muito importante, se ele não é alfabetizado ate o 2º ano, ele chega no 9º sem ser alfabetizado.”
PE: ""Todos os professores precisam ser formados (todos os ciclos), para não responsabilizar os colegas sobre as defasagens encontradas nos alunos que vem de outros ciclos, precisa haver trocas de experiências entre os profissionais – JEIF coletiva""
JT: ""Professores, contratados e equipe fora da JEIF não acessam o conteúdo das formações""
IQ: ""Um fator de desistência é o professor não saber o que tem que fazer e não alcançar os resultados, ele precisa estudar e se dedicar. Quando não sabe o que fazer, ele vai mudando de lugar.""";;"Número de professores com cargo ""Prof. Ens. Infantil e Fundamental I
2024: 20.638
2025: 24.313

Número de professores com cargo ""Prof. Ens. Infantil e Fundamental I em JEIF
2024:
2025: 49,65% (12.084)
";EMEF: 7.310 com JEIF, 4.968 sem JEIF.
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Gestão escolar sobrecarregada com demandas de gestão do quadro de profissionais da escola;Dificuldade para definir as atribuições entre os profissionais da equipe gestora, sobretudo em situações de urgência e emergência;"IQ: Recursos humanos, assistentes que auxiliem em sala de aula.
JT: O modelo atual de contratação. Em fevereiro, os profissionais não têm a possibilidade de escolher onde ficar.
G: Apoio da gestão, da coordenação.";;"Déficit de Professores de Ed. Infantil e Ensino Fundamental I  no módulo 
2024: 18,53%
Módulo: 25.333
Em exercício: 20.638

Déficit do quadro de diretor, coordenador pedagógico e supervisor:
2024: 6,38%
Módulo: 4.273
Em exercício: 4000

Fonte: DIE/UPGE";"Entrevistas do CENPRE; procurar por reclamações sobre atribuições do trio gestor"
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Falta de profissionais devido a afastamentos, faltas, designações e licenças médicas;;Desafios estruturais e de recursos humanos: a sobrecarga e a falta de profissionais dificultam o atendimento individualizado e de qualidade.;;"Déficit de Professores de Ed. Infantil e Ensino Fundamental I  no módulo 
2024: 18,53%
Módulo: 25.333
Em exercício: 20.638

Déficit do quadro de diretor, coordenador pedagógico e supervisor:
2024: 6,38%
Módulo: 4.273
Em exercício: 4000

Fonte: DIE/UPGE";"Estudo: 63,5% dos profissionais entrevistados relataram ter faltado ao trabalho por motivo de doença nos últimos 12 meses, sendo essa ausência fortemente associada a pior estado de saúde física e mental. Entre os profissionais com saúde física “Muito ruim”, 85,3% faltaram por doença; entre os com saúde física “Excelente”, este número cai para 31,5%. (CHON et al. 2024)"
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Profissionais em quantidade insuficiente para atender às demandas das UEs;Falta de critérios para seleção de profissionais especializados;;"No Ensino Fundamental, é destacada a necessidade de garantir ""profissionais especializados para atender demandas específicas (Braille, línguas estrangeiras para migrantes)"".";;;
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Dificuldade em garantir um padrão de qualidade e equidade das condições entre as diferentes unidades;Falta de diálogo com as unidades para priorização de demandas das UEs;;"Falta de diálogo para o levantamento das principais necessidades de cada UE, precariedade dos materiais utilizados e falta de informação específica no campo da inclusão"" (C.)

""Teve uma obra grande, mas não é a que estamos tentando há anos."" (GF)

""Faz 2 anos que tem uma obra acontecendo. Isso afeta não só a acessibilidade, mas a rotina inteira da escola. Precisa ter uma articulação melhor entre secretarias, [pois] elas não sabem como funciona um espaço de educação, precisam muito ouvir as escolas. (GF)";;;
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Presença frágil, reativa e pouco articulada de outras secretarias e Conselho Tutelar no atendimento às famílias;Morosidade e fragilidade relacionados a formalização dos laudos para o efetivo atendimento dos estudantes;;"""morosidade e fragilidades relacionadas à formalização dos laudos, há indicação de extensão do atendimento também para estudantes que ainda não estão com laudos. "" (C.)";;;
Educação Especial na Perspectiva da Educação Inclusiva;Dificuldade na efetivação da educação especial na perspectiva da educação inclusiva;Presença frágil, reativa e pouco articulada de outras secretarias e Conselho Tutelar no atendimento às famílias;Poucos protocolos articulados de atendimento e acompanhamento;;"Há um consenso sobre a necessidade de ""elaboração de protocolos de atendimento articulado com a Educação"", que definam responsabilidades, prazos e fluxos de comunicação para os casos encaminhados, garantindo que haja devolutivas.

""com relação às EMEBS, as/os estudantes são moradoras/es de territórios distantes da Unidade, portanto, há necessidade de elaborar protocolos que permitam a ação direta da UE com órgãos de outras Secretarias"" (C.)

""necessidade de facilitar o encaminhamento de casos ao NAAPA"" (C.)";;;
